id;disciplina;assunto;enunciado;alt_a;alt_b;alt_c;alt_d;gabarito;just_a;just_b;just_c;just_d;dica_interpretacao;formula_aplicavel;dificuldade
1;Direito Administrativo;Licitações (Lei 14.133);A Lei 14.133/2021 (Nova Lei de Licitações) estabelece diversas modalidades de licitação. Qual modalidade é caracterizada por um diálogo com licitantes previamente selecionados para desenvolver soluções?;Pregão;Concorrência;Diálogo Competitivo;Leilão;C;Errado. Pregão é para bens e serviços comuns.;Errado. Concorrência é para obras e serviços especiais de engenharia.;Correto. Esta é a definição exata do Diálogo Competitivo, usado para inovação.;Errado. Leilão é para alienação de bens.;A chave é 'desenvolver soluções' e 'inovação'.;N/A;Médio
2;Língua Portuguesa;Concordância Verbal;Assinale a alternativa em que a concordância verbal está INCORRETA:;Houveram muitos problemas na reunião.;Mais de um aluno chegou atrasado.;Fomos nós que fizemos o bolo.;Precisa-se de voluntários.;A;Correto (é a incorreta). O verbo 'Haver' no sentido de 'existir' é impessoal, fica sempre no singular (Deveria ser 'Houve').;Errado (está correta). 'Mais de um' exige verbo no singular.;Errado (está correta). O pronome 'que' concorda com 'nós' (nós fizemos).;Errado (está correta). 'Precisa-se de' (verbo + de) indica sujeito indeterminado, verbo no singular.;Verbo 'Haver' no sentido de 'existir' é o 'pega' mais comum.;N/A;Fácil
3;Raciocínio Lógico;Equivalência Lógica;A negação da proposição 'Se chove, então o trânsito para' é:;Chove e o trânsito não para.;Não chove ou o trânsito para.;Se não chove, então o trânsito não para.;Não chove e o trânsito não para.;A;Correto. A negação de 'Se P, então Q' é 'P e não-Q'.;Errado. Esta é a equivalência de 'Se P, então Q', não a negação.;Errado. Esta é a 'contrária'.;Errado. Esta é a negação de 'P ou Q'.;Use a regra 'Mané': Mantém a primeira E Nega a segunda.;P -> Q <=> ~P v Q. Negação: ~(~P v Q) = P ^ ~Q;Médio
4;Direito Constitucional;Direitos Fundamentais;Sobre a aplicabilidade das normas constitucionais que definem direitos e garantias fundamentais, é correto afirmar que:;Possuem aplicação restrita e dependem sempre de lei.;São normas de eficácia limitada.;Possuem aplicabilidade futura e condicionada.;Possuem aplicação imediata.;D;Errado. A regra é a aplicação imediata.;Errado. Muitas são de eficácia plena.;Errado. A aplicabilidade é imediata, não futura.;Correto. Conforme o Art. 5º, § 1º da CF/88.;Art. 5º, § 1º da CF: 'As normas definidoras dos direitos e garantias fundamentais têm aplicação imediata.';N/A;Fácil
5;Direito Administrativo;Atos Administrativos;A invalidação de um ato administrativo por motivo de ilegalidade é chamada de:;Revogação;Anulação;Cassação;Convalidação;B;Errado. Revogação é por conveniência e oportunidade (mérito) e atinge atos válidos.;Correto. Anulação (ou invalidação) ocorre quando há um vício de legalidade.;Errado. Cassação é uma sanção por descumprimento.;Errado. Convalidação é o ato de 'consertar' um vício sanável.;Anulação = Ilegalidade. Revogação = Oportunidade.;N/A;Fácil
6;Raciocínio Lógico;Tabela Verdade (Conectivos);Na proposição composta P ^ Q (Conjunção 'E'), o resultado lógico só será Verdadeiro (V) se:;P for V ou Q for V;P for V e Q for V;P for F e Q for V;P for F e Q for F;B;Errado. Esta é a regra da Disjunção ('OU').;Correto. O 'E' (conjunção) só é verdadeiro se AMBAS as partes forem verdadeiras.;Errado.;Errado.;O 'E' é exigente. O 'OU' é inclusivo.;N/A;Fácil
7;Língua Portuguesa;Uso da Crase;Assinale a alternativa em que o uso do acento grave indicativo da crase é FACULTATIVO:;Vou à Bahia no verão.;Refiro-me àquele aluno.;Disse tudo à sua mãe.;O evento começa às 19h.;C;Errado. 'Vou A' + 'a Bahia' (vem 'da' Bahia) = Crase obrigatória.;Errado. 'Refiro-me A' + 'aquele' = Crase obrigatória.;Correto. Antes de pronomes possessivos femininos (sua, minha, nossa), o uso do artigo 'a' é facultativo, logo a crase é facultativa.;Errado. Antes de indicação de horas, é obrigatório.;Crase é facultativa antes de nomes próprios femininos e pronomes possessivos femininos.;N/A;Difícil
8;Direito Constitucional;Controle de Constitucionalidade;O instrumento de controle de constitucionalidade que permite ao Supremo Tribunal Federal (STF) editar súmulas que vinculam toda a administração pública e o judiciário é a:;Ação Direta de Inconstitucionalidade (ADI);Arguição de Descumprimento de Preceito Fundamental (ADPF);Súmula Vinculante;Mandado de Injunção;C;Errado. A ADI julga a lei inconstitucional, mas não cria a súmula vinculante por si só.;Errado. A ADPF é usada para preceitos fundamentais.;Correto. Esta é a definição da Súmula Vinculante (Art. 103-A da CF).;Errado. O Mandado de Injunção é para omissão legislativa.;Súmula Vinculante é a única que 'vincula' (obriga) outros órgãos.;N/A;Médio
9;Matemática;Juros Simples;Uma pessoa aplicou R$ 1.200,00 a uma taxa de juros simples de 2% ao mês. Qual será o montante ao final de 5 meses?;R$ 1.320,00;R$ 1.260,00;R$ 120,00;R$ 1.440,00;A;Correto. J = 1200 * 0,02 * 5 = 120. Montante (M) = Capital (C) + Juros (J) = 1200 + 120 = 1320.;Errado. Verifique os cálculos.;Errado. R$ 120,00 é o valor apenas dos Juros, não do Montante.;Errado. Verifique os cálculos.;'Montante' é o Capital Inicial + Juros. 'Juros' é apenas o rendimento.;J = C * i * t (Juros = Capital * taxa * tempo);Difícil
10;Psicologia (Gestão);Clima Organizacional;A percepção coletiva que os membros de uma organização têm sobre o seu ambiente de trabalho, refletindo normas, valores e práticas, é a definição de:;Cultura Organizacional;Clima Organizacional;Gestão de Desempenho;Motivação Intrínseca;B;Errado. Cultura é mais profunda e estável (o 'DNA').;Correto. Clima é a percepção momentânea, a 'atmosfera' do local, que é um reflexo da cultura.;Errado. Gestão de Desempenho é o processo de avaliação.;Errado. Motivação é um estado psicológico individual.;Clima = Atmosfera (o que se sente agora). Cultura = DNA (o que a empresa é).;N/A;Médio
